BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,PRC_FULL_PAYMENT,TENURE
40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,0.0,12
3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,7000.0,4103.032597,0.222222,12
2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,7500.0,622.066742,0.0,12
1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,7500.0,0.0,0.0,12
817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,0.0,12
1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,1800.0,1400.05777,0.0,12
627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,13500.0,6354.314328,1.0,12
1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.065082,0.0,12
1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,0.0,12
152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,11000.0,1164.770591,0.0,12
1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,1200.0,1083.301007,0.0,12
630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,2000.0,705.618627,0.0,12
1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,3000.0,608.263689,0.25,12
921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,7500.0,1655.891435,0.083333,12
2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,0.0,12
6886.213231,1.0,1611.7,0.0,1611.7,2301.491267,0.5,0.0,0.5,0.166667,4,11,8000.0,1993.439277,0.0,12
2072.074354,0.875,0.0,0.0,0.0,2784.274703,0.0,0.0,0.0,0.25,3,0,3000.0,391.974562,0.0,8
41.089489,0.454545,519.0,0.0,519.0,0.0,0.416667,0.0,0.333333,0.0,0,8,2500.0,254.590662,0.25,12
1989.072228,1.0,504.35,166.0,338.35,0.0,0.666667,0.083333,0.583333,0.0,0,9,13000.0,1720.837373,0.0,12
3577.970933,1.0,398.64,0.0,398.64,0.0,1.0,0.0,1.0,0.0,0,12,4000.0,1053.980464,0.0,12
2016.684686,1.0,176.68,0.0,176.68,0.0,0.666667,0.0,0.666667,0.0,0,8,2000.0,223.0686,0.0,12
6369.531318,1.0,6359.95,5910.04,449.91,229.028245,1.0,0.916667,1.0,0.333333,6,92,11250.0,2077.959051,0.0,12
132.34224,0.636364,815.9,0.0,815.9,0.0,1.0,0.0,1.0,0.0,0,17,1800.0,2359.629958,0.0,12
3800.151377,0.818182,4248.35,3454.56,793.79,7974.415626,1.0,0.083333,0.916667,0.333333,13,13,9000.0,9479.043842,0.0,12
5368.571219,1.0,0.0,0.0,0.0,798.949863,0.0,0.0,0.0,0.363636,4,0,6000.0,1422.726707,0.0,11
169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,0.0,12
1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.178845,0.0,12
125.694817,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.773715,0.0,12
7152.864372,1.0,387.05,204.55,182.5,2236.145259,0.666667,0.166667,0.416667,0.833333,16,8,10500.0,1601.448347,0.0,12
22.06349,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,6900.0,160.767773,0.0,12
12136.21996,1.0,3038.01,1013.2,2024.81,3183.583301,1.0,0.166667,1.0,0.5,10,64,13000.0,4230.323491,0.0,12
1162.273324,1.0,1347.71,400.0,947.71,175.815755,1.0,0.083333,1.0,0.166667,2,45,6000.0,645.998299,0.0,12
6732.823064,1.0,324.95,324.95,0.0,1189.533753,0.083333,0.083333,0.0,0.166667,3,3,10500.0,1720.118876,0.0,12
125.660453,1.0,636.79,636.79,0.0,0.0,0.916667,0.916667,0.0,0.0,0,11,1200.0,423.449696,0.3,12
3517.101616,0.727273,547.28,0.0,547.28,0.0,1.0,0.0,1.0,0.0,0,14,11000.0,8735.607835,0.0,12
1656.350781,1.0,0.0,0.0,0.0,99.264367,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,0.0,12
7427.076941,1.0,0.0,0.0,0.0,8873.375046,0.0,0.0,0.0,0.727273,11,0,9000.0,1636.361601,0.0,11
4047.480828,1.0,2380.55,1642.17,738.38,1697.660901,0.75,0.5,0.75,0.333333,7,41,5000.0,1617.894416,0.0,12
6269.418144,1.0,204.0,204.0,0.0,2925.699862,0.083333,0.083333,0.0,0.333333,12,2,9000.0,1237.111661,0.0,12
1411.60223,0.454545,963.24,963.24,0.0,6173.682877,0.083333,0.083333,0.0,0.333333,6,6,7500.0,20071.07544,0.333333,12
663.44781,0.727273,0.0,0.0,0.0,3133.063934,0.0,0.0,0.0,0.25,3,0,1800.0,3067.05783,0.166667,12
784.889762,0.909091,1526.59,786.3,740.29,2188.419607,0.583333,0.416667,0.333333,0.25,11,27,3000.0,1262.309666,0.111111,12
4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,0.0,12
1360.742377,1.0,0.0,0.0,0.0,1481.587093,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,0.0,12
5315.945594,1.0,1525.44,469.8,1055.64,0.0,1.0,0.333333,1.0,0.0,0,20,8500.0,1430.341501,0.0,12
2242.311686,1.0,437.0,97.0,340.0,184.648692,0.333333,0.083333,0.333333,0.166667,2,5,2400.0,0.0,0.0,12
474.447149,0.5,109.74,0.0,109.74,1013.659552,0.375,0.0,0.25,0.125,1,3,1700.0,176.013005,0.0,8
3910.111237,1.0,0.0,0.0,0.0,1980.873201,0.0,0.0,0.0,0.5,7,0,4200.0,0.0,0.0,12
229.867179,1.0,2390.6,1402.93,987.67,0.0,1.0,0.666667,1.0,0.0,0,87,3300.0,2543.953559,0.916667,12
863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4000.0,587.866451,0.083333,12
4931.331857,1.0,901.42,646.07,255.35,8530.648614,0.625,0.375,0.25,0.875,37,9,12000.0,8113.297346,0.0,8
1078.888565,1.0,3107.85,2221.74,886.11,0.0,0.666667,0.583333,0.5,0.0,0,18,2500.0,1399.82834,0.0,12
1565.681099,1.0,0.0,0.0,0.0,321.359135,0.0,0.0,0.0,0.25,3,0,3500.0,691.825279,0.0,12
464.674156,0.888889,1979.22,1979.22,0.0,1981.265503,0.666667,0.666667,0.0,0.111111,1,11,3000.0,3110.052742,0.2,9
6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0,8,1000.0,417.016763,0.0,12
1311.995984,1.0,1283.9,1283.9,0.0,0.0,0.25,0.25,0.0,0.0,0,6,6000.0,0.0,0.0,12
3625.218146,1.0,313.27,313.27,0.0,668.468743,0.25,0.25,0.0,0.416667,5,4,4000.0,0.0,0.0,12
2386.330629,1.0,5217.62,4789.09,428.53,0.0,0.916667,0.916667,0.5,0.0,0,42,7500.0,5678.729613,0.083333,12
3971.138765,1.0,0.0,0.0,0.0,224.575517,0.0,0.0,0.0,0.181818,3,0,4000.0,764.938728,0.0,11
5493.90406,1.0,229.0,0.0,229.0,970.591332,0.416667,0.0,0.333333,0.333333,4,6,6000.0,2110.557023,0.0,12
1879.114033,0.727273,113.0,113.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,6500.0,3509.686561,0.0,12
1555.793701,1.0,66.2,66.2,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,338.083661,0.0,12
809.582978,0.909091,0.0,0.0,0.0,3819.672466,0.0,0.0,0.0,0.545455,7,0,4150.0,4372.148648,0.090909,11
7.152356,0.090909,840.0,840.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1600.0,0.0,0.0,12
1923.886805,1.0,1887.64,0.0,1887.64,1605.949371,1.0,0.0,1.0,0.083333,4,61,1850.0,3688.045998,0.083333,12
1758.059987,1.0,412.33,325.21,87.12,0.0,0.583333,0.333333,0.166667,0.0,0,11,1800.0,777.451648,0.0,12
809.847455,0.875,0.0,0.0,0.0,908.423608,0.0,0.0,0.0,0.125,1,0,1500.0,146.074769,0.0,8
1576.305029,1.0,0.0,0.0,0.0,382.908547,0.0,0.0,0.0,0.416667,6,0,2500.0,540.022225,0.0,12
3990.523579,1.0,263.5,190.6,72.9,0.0,0.666667,0.083333,0.583333,0.0,0,8,6000.0,6876.836205,0.083333,12
1699.435486,1.0,1363.69,1363.69,0.0,0.0,0.333333,0.333333,0.0,0.0,0,4,1700.0,1623.816348,0.0,12
5487.683724,1.0,419.1,0.0,419.1,625.399386,0.916667,0.0,0.833333,0.333333,4,11,6250.0,1288.214909,0.0,12
2990.422186,0.909091,4523.27,1664.09,2859.18,27296.48576,0.666667,0.5,0.583333,0.833333,27,33,7000.0,28232.69446,0.454545,12
656.01301,1.0,0.0,0.0,0.0,1474.349901,0.0,0.0,0.0,0.125,3,0,7000.0,910.457985,0.25,8
1808.972419,1.0,713.9,503.08,210.82,0.0,0.5,0.1,0.4,0.0,0,8,2250.0,889.017418,0.0,10
532.334517,0.909091,791.94,516.64,275.3,0.0,0.272727,0.090909,0.181818,0.0,0,7,6000.0,1305.177304,0.0,11
5860.433624,1.0,561.87,249.5,312.37,0.0,0.833333,0.166667,0.75,0.0,0,14,6000.0,1990.044998,0.0,12
1727.638449,1.0,606.11,606.11,0.0,0.0,1.0,1.0,0.0,0.0,0,17,11000.0,2959.920544,0.0,12
578.809679,1.0,320.0,0.0,320.0,0.0,0.75,0.0,0.666667,0.0,0,8,1500.0,1438.910569,0.0,12
1205.716678,1.0,0.0,0.0,0.0,38.325801,0.0,0.0,0.0,0.083333,1,0,1200.0,29.278671,0.0,12
6593.820644,1.0,388.66,388.66,0.0,4621.93458,0.583333,0.583333,0.0,0.416667,7,7,7000.0,1624.583114,0.0,12
17.357563,0.909091,244.85,40.21,204.64,0.0,0.666667,0.166667,0.583333,0.0,0,13,5000.0,357.802082,0.181818,12
81.584711,0.272727,0.0,0.0,0.0,2985.300006,0.0,0.0,0.0,0.166667,5,0,9500.0,116.569033,0.0,12
3.78631,0.636364,133.05,28.2,104.85,0.0,0.416667,0.166667,0.25,0.0,0,5,12000.0,210.053432,0.444444,12
42.46443,0.545455,396.0,0.0,396.0,0.0,0.5,0.0,0.416667,0.0,0,12,1200.0,725.606194,1.0,12
1935.362486,1.0,4915.6,4515.34,400.26,293.844792,1.0,1.0,0.333333,0.083333,1,50,9000.0,4921.066897,0.0,12
134.917202,1.0,1247.8,1247.8,0.0,0.0,1.0,1.0,0.0,0.0,0,22,16500.0,1275.229436,1.0,12
7069.950386,1.0,1603.78,1445.14,158.64,5626.004046,1.0,0.833333,1.0,0.75,23,23,11000.0,4589.873897,0.0,12
8181.251131,1.0,2258.01,1318.78,939.23,5251.228934,1.0,0.75,1.0,0.75,21,60,13500.0,3021.575846,0.0,12
4037.305658,1.0,45.0,45.0,0.0,104.238064,0.083333,0.083333,0.0,0.083333,1,1,4500.0,1073.844885,0.0,12
6110.265264,1.0,0.0,0.0,0.0,2717.253917,0.0,0.0,0.0,0.416667,14,0,6500.0,1502.205631,0.0,12
9381.255094,1.0,5100.07,1147.83,3952.24,370.737197,1.0,0.25,0.916667,0.083333,1,46,9000.0,6409.496345,0.0,12
1977.00709,1.0,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4000.0,3056.424974,0.090909,11
1321.47608,1.0,45.65,45.65,0.0,495.657934,0.083333,0.083333,0.0,0.083333,1,1,1800.0,440.840439,0.0,12
1307.717841,1.0,405.6,405.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,2,2400.0,0.0,0.0,12
2329.485768,1.0,213.34,213.34,0.0,0.0,0.25,0.25,0.0,0.0,0,3,2400.0,0.0,0.0,12
1139.782882,1.0,0.0,0.0,0.0,120.612912,0.0,0.0,0.0,0.083333,1,0,1200.0,151.823651,0.0,12
1619.955708,1.0,739.44,739.44,0.0,0.0,0.666667,0.666667,0.0,0.0,0,11,6000.0,417.128532,0.0,12
3505.671311,1.0,0.0,0.0,0.0,1713.984305,0.0,0.0,0.0,0.5,6,0,4000.0,0.0,0.0,12
4.708041,0.363636,79.0,0.0,79.0,0.0,0.25,0.0,0.166667,0.0,0,3,7000.0,217.820198,1.0,12
0.0,0.0,0.0,0.0,0.0,89.849004,0.0,0.0,0.0,0.142857,1,0,3000.0,138.021428,0.0,7
4.875885,0.666667,20.0,20.0,0.0,0.0,0.111111,0.111111,0.0,0.0,0,1,1500.0,26.487919,0.0,9
23.394411,0.272727,1346.28,0.0,1346.28,0.0,1.0,0.0,1.0,0.0,0,12,2000.0,712.149153,0.0,12
3539.801912,1.0,2823.8,1540.41,1283.39,0.0,0.916667,0.916667,0.833333,0.0,0,75,5700.0,9172.788366,0.083333,12
0.62424,0.090909,389.96,0.0,389.96,0.0,1.0,0.0,1.0,0.0,0,31,4500.0,0.0,0.0,12
862.07238,1.0,0.0,0.0,0.0,920.309805,0.0,0.0,0.0,0.083333,1,0,4000.0,2236.890255,0.083333,12
